crop,Price_per_kg
Wheat,22
Rice,18
Maize,25
Millet,28
Sugarcane,3
Soybean,45
Potato,10
Tomato,12
Onion,8
Carrot,9
Lettuce,7
Spinach,6
Cabbage,5
Broccoli,4
Cauliflower,4
Peas,30
Lentils,55
Barley,19  
Sorghum,22
Sunflower,40
Rapeseed,35
Alfalfa,15
Cucumber,11
Pumpkin,8
Watermelon,9
Strawberry,20
Blueberry,25
Raspberry,22
Blackberry,18
Apple,30
Banana,15
Orange,20
Grapes,28
Mango,25
Pineapple,12
Coconut,10
Tea,100
Coffee,120
Sugarbeet,4
Tobacco,50
Almond,150
Walnut,130
Pistachio,140
Hazelnut,120
Chestnut,110
Olive,80
Avocado,90
Peach,70
Pear,60
Plum,55
Cherry,75
Apricot,65
Fig,85
Pomegranate,95
Cranberry,40
Rye,17  
Oats,16  
Quinoa,70   
Chickpea,50
Cotton,60